Year,Group,Location,Score,Team,Total_shots,Shots_on_target,Touches,Total_passes,Accurate_passes,Key_passes,Dribbles_won,Dribbles_attempted,Dribbles_past,Aerials_won,Offensive_aerials,Defensive_aerials,Successful_tackles,Tackles_attempted,Clearances,Interceptions,Corners,Dispossessed,Fouls,Offsides
2019,G,Deplasman,0,Zenit St. Petersburg,3,1,561,387,306,2,8,19,2,19,21,8,8,10,25,13,6,10,13,2
2019,H,Ev,0,Chelsea,22,6,759,600,537,17,14,19,6,21,20,13,11,17,10,6,10,6,25,0
2019,H,Deplasman,1,Valencia,8,2,602,427,350,8,6,10,14,12,13,20,11,25,32,8,2,7,10,1
2019,H,Ev,3,Ajax,15,6,867,637,541,13,15,18,10,17,11,16,33,43,20,24,4,17,9,2
2019,H,Deplasman,0,Lille,17,5,616,383,297,14,10,25,15,10,16,11,20,35,17,21,5,18,12,4
2019,H,Ev,1,Lille,7,3,560,362,280,6,16,28,14,11,28,26,23,37,15,9,8,12,11,0
2019,H,Deplasman,2,Chelsea,11,3,835,613,533,9,14,22,16,28,72,13,23,39,17,6,4,15,6,0
2019,H,Ev,0,Valencia,14,4,740,531,465,7,16,27,8,11,11,11,17,25,9,15,4,6,8,2
2019,H,Deplasman,3,Ajax,13,7,628,452,382,8,8,14,16,11,11,11,17,33,15,12,2,11,22,2
2019,H,Ev,0,Ajax,10,2,679,487,389,9,8,14,9,13,12,20,29,38,14,12,6,6,14,3
2019,H,Deplasman,1,Chelsea,16,4,651,447,360,14,9,16,8,19,20,12,12,20,23,10,9,22,15,2
2019,H,Ev,1,Lille,27,6,688,471,403,24,17,25,6,20,22,19,13,19,7,17,9,2,23,4
2019,H,Deplasman,1,Valencia,6,3,593,408,322,6,6,11,17,21,19,22,10,27,33,9,4,8,10,2
2019,H,Ev,4,Valencia,16,8,644,439,335,9,12,17,10,23,17,28,17,27,15,11,4,7,7,2
2019,H,Deplasman,1,Lille,15,4,544,356,263,12,10,23,12,22,28,17,12,24,21,10,3,4,19,4
2019,H,Ev,4,Chelsea,23,9,635,402,327,17,25,34,8,20,15,15,18,26,16,10,3,10,10,5
2019,H,Deplasman,4,Ajax,8,5,536,348,249,6,8,15,25,10,15,15,19,44,16,9,6,11,12,0
2019,H,Ev,2,Valencia,18,6,660,448,372,16,5,12,16,16,23,11,16,32,18,14,6,6,11,2
2019,H,Deplasman,2,Chelsea,16,6,644,446,375,12,16,19,5,18,11,23,13,18,12,6,7,13,22,1
2019,H,Ev,0,Lille,12,5,624,400,306,10,16,25,15,16,21,10,16,31,20,15,3,14,12,3
2019,H,Deplasman,2,Ajax,13,3,768,559,458,13,15,21,16,15,10,21,23,39,14,15,4,10,16,1
2019,H,Ev,2,Chelsea,20,9,871,644,545,17,26,38,12,17,22,13,17,29,7,12,10,10,10,0
2019,H,Deplasman,1,Lille,7,2,573,356,254,4,12,19,26,18,13,22,22,48,32,12,2,10,7,1
2019,H,Ev,0,Ajax,17,3,747,531,421,13,7,11,7,32,28,25,25,32,4,13,13,11,20,3
2019,H,Deplasman,1,Valencia,8,3,537,312,208,6,7,16,7,21,25,28,15,22,48,16,2,16,7,0
